Application Number,Title,Abstract,Application Date,Classification,Country Name (Priority),Priority Number,Priority Date,Earliest Priority Date,Application Type (ID)
P145/2000,Steel wa11 framing system.,,2000-11-19,There are no classifications,,,,2000-11-19,5
P172/2000,SYSTEM FOR THE CONTACTLESS RECOGNITION OF HAND AND FINGER LINES,,2000-11-12,G06K 19/07,,,,2000-11-12,5
P139/2000,Lollipop holder with its marketing device.,,2000-11-11,There are no classifications,,,,2000-11-11,5
P180/2001,Matrix tablet permitting the sustained replease of indapamide after oral administration,,2001-07-22,A61K 31/40,,,,2001-07-22,5
P193/2001,Computer controlled method and apparatus for fairing and painting of marine vessel surfaces,,2001-08-07,B05B 12/00,,,,2001-08-07,5
P247/2001,Process for Deacidizing a Gas by Absorption in a Solvent with Temperature Control,,2001-09-26,B01D 53/14,,,,2001-09-26,5
P279/2001,SMART DOCUMENT SYSTEM WITH DOCUMENTS HAVING MAGNETIZED STRIPS AND /OR STORAGE CHIPS,,2001-10-02,G06K 19/00,,,,2001-10-02,5
P331/2001,Split air conditioner having segmented blower assembly,,2001-12-11,F24F 1/00,,,,2001-12-11,5
P1/2002,BOREHOLE SURVEY METHOD UTILIZING CONTINOUS MEASUREMENT,,2002-01-05,E21B 44/00,,,,2002-01-05,5
P58/2002,"Strengthened structure by PVC isolator, preparation methods and uses",,2002-02-19,C08K 3/00,,,,2002-02-19,5
P96/2002,Proess for Dehydrating and Fractionating a Low-Pressure Natural Gas,,2002-03-30,B01D 53/14,,,,2002-03-30,5
P234/2002,Desiqning and Coloring of animations and other drawings on clothes or other fabrics by using PVC Colored Stickers,,2002-08-14,G09F 3/00,,,,2002-08-14,5
P263/2002,POCKET LAMP,,2002-09-04,F21L 4/00,,,,2002-09-04,5
P13/2003,"A METHOD, SYSTEM AND A NEW USAGE OF AN ADVERTISING AID WITH PLASMA SCREENS AND COMPACT DISCS OPERATING DEVICES.",,2003-01-06,G09F 27/00,,,,2003-01-06,5
P30/2003,MDS -5 (Mobile Oxy-Acetylene Distribution System),,2003-01-22,F17C 5/00,,,,2003-01-22,5
P31/2003,SEALING DEVICE FOR A SUPPORT WINDOW &ldquo;BREATHING&ldquo; FRAME,,2003-01-25,E06B 3/00,,,,2003-01-25,5
P4/2003,DAFI,,2003-01-05,E04H 4/12,,,,2003-01-05,5
P21/2003,Method and System for Controlling GSM- Based Telecommunication Services,,2003-01-14,H04W 8/16,,,,2003-01-14,5
P12/2003,"A NEW METHOD, SYSTEM AND USE OF AN EXTERNAL ADVERTISING AID (STATIC) USING TELEPHONE BOOTH (ETISALAT) OR POSTS FOR PAYMENT OF CAR PARKING CHARGES BELONGING TO MUNICIPALITY OF ANY OTHER POSTS DESIGNED FOR ADVERTISEMENTS.",,2003-01-06,G09F 27/00,,,,2003-01-06,5
P3/2003,ARAB WATCH,,2003-01-05,G04C 11/00,,,,2003-01-05,5
P20/2003,ERECTION AID,,2003-01-13,A61F 5/41,,,,2003-01-13,5
P17/2003,GUM BASED CHEWING PRODUCT,,2003-01-12,A23G 4/00,,,,2003-01-12,5
P97/2003,Ultrasonic measuring machine for wall thickness of plastic pipe,,2003-03-31,G01B 17/02,,,,2003-03-31,5
P125/2003,TIMER ALARM FOR GAS CONDUIT,,2003-04-20,G08B 21/00,,,,2003-04-20,5
P105/2003,METHOD AND APPARATUS FOR ENHANCING POWER OUTPUT AND EFFICIENCY OF COMBUSTION TURBINES,,2003-04-12,F02C 7/143,,,,2003-04-12,5
P121/2003,EH-01 Energy Storage Apparatus,,2003-04-19,F01K 3/06,,,,2003-04-19,5
P135/2003,A MECHANIZED EMERGENCY LANDING PLATFORM,,2003-05-04,B64D 25/00,,,,2003-05-04,5
P54/2003,Near Infrared Fluorescent Contrast Agent and Fluorescence Imaging,,2003-05-02,A61K 49/00,,,,2003-05-02,5
P171/2003,Automatic Switch Off of the Ring Tone Alert in Cellular phones During Prayer Times,,2003-06-04,H04B 1/00,,,,2003-06-04,5
P192/2003,A new device to measure gas pressure and quantity in a gas cylinder to avoid its sudden depletion and the declining of its pressure,,2003-06-18,G01F 17/00,,,,2003-06-18,5
P163/2003,Company credit Card Layout (c.c.c).,,2003-06-02,G07F 19/00,,,,2003-06-02,5
P170/2003,Automatic Switch Off of the Ring Tone Alert in Cellular Phones,,2003-06-04,H04B 1/00,,,,2003-06-04,5
P208/2003,Toothbrush of Meswak,,2003-06-25,A61C 17/00,,,,2003-06-25,5
P169/2003,Automatic Reactivation of the Ring Tone Alert in Cellular Phones,,2003-06-04,H04B 1/00,,,,2003-06-04,5
P209/2003,Toothpick of Meswak,,2003-06-25,A61C 15/02,,,,2003-06-25,5
P217/2003,System and Method to broadcast the Video or TV and displaying on PC or TV by choosing the required program from the Internet,,2003-07-05,H04H 60/00,,,,2003-07-05,5
P229/2003,The Instrument (tool) and Method of Organizing and Registering the Decisions of the Referees,,2003-07-20,A63F 13/00,,,,2003-07-20,5
P231/2003,"METHOD OF JOINUNG A FIRST PLASTIC PIPE TO A SECOND PLASTIC PIPE, AND PLASTIC PIPE",,2003-07-21,F16L 47/03,,,,2003-07-21,5
P274/2003,EL-01 (Eleprothel),,2003-08-24,"H01M 8/04, H01M 16/00, C25B 1/04, H01M 8/06",,,,2003-08-24,5
P257/2003,THE EARLY WARNING SYSTEM,,2003-08-11,G08B 21/00,,,,2003-08-11,5
P283/2003,PROCESS FOR PRODUCING A CALCIUM CARBOXYLATE,,2003-09-01,C01F 1/00,,,,2003-09-01,5
P244/2003,"Equipment Name: Automatic Alma via (Radio, TV, PC &amp; others)",,2003-08-03,H04W 4/04,,,,2003-08-03,5
P265/2003,METHOD AND APPARATUS FOR NON&ndash;CONTACTLY MONITORING THE CELL BIOACTIVITY,,2003-08-18,A61B 5/053,,,,2003-08-18,5
P141/2003,Track Orientated Cladding Cleaning Device,,2003-09-17,A47L 7/00,,,,2003-09-17,5
P283/2003,PROCESS FOR PRODUCING A CALCIUM CARBOXYLATE,,2003-09-01,C01F 1/00,,,,2003-09-01,5
P288/2003,New method and System for the utilization of prepaid cards in the terrestrial and naval transportation sectors,,2003-09-03,G06Q 30/02,,,,2003-09-03,5
P332/2003,ELECTRICITY PRODUCING SYSTEM (Eptogel),,2003-10-07,H01M 8/00,,,,2003-10-07,5
P357/2003,MAGNETIC BOOKMARK,,2003-10-28,B42D 9/02,,,,2003-10-28,5
P379/2003,Raising the security level of car license plates with barcode system,,2003-11-12,G06K 19/00,,,,2003-11-12,5
P375/2003,SECURE COOKING APPARATUS,,2003-11-12,A47J 37/04,,,,2003-11-12,5
P439/2003,EL-MISNAD ALMODMAJ - COMPAINED COVER &amp; BOOK STAND,,2003-12-31,A47B 23/04,,,,2003-12-31,5
P405/2003,ATMOSPHERIC HUMIDITY ABSORPTION UNIT POWERED BY SOLAR AND WIND ENERGY,,2003-12-06,B01D 53/26,,,,2003-12-06,5
P418/2003,GLAZING PROVIDED WITH A STACK OF THIN LAYERS ACTING ON SOLAR RADIATION,,2003-12-17,"B32B 7/00, C03C 17/36, C03C 17/34",,,,2003-12-17,5
P7/2004,Amethod and means for operating an electrolytic cell,,2004-01-05,C25C 3/22,,,,2004-01-05,5
P20/2004,Attractive Warner,,2004-01-18,G09F 21/04,,,,2004-01-18,5
P25/2004,LANDMARKS OF DUBAI FOR WATCHES,,2004-01-19,G04B 15/00,,,,2004-01-19,5
P82/2004,System and Method for using Short Message Services,,2004-03-15,H04W 4/14,,,,2004-03-15,5
P897/2007,SMART DOCUMENTS,,2004-03-21,G06K 19/00,,,,2004-03-21,5
P114/2004,Cooling System (Electrolac),,2004-04-14,H05K 5/00,,,,2004-04-14,5
P121/2004,Method of producing fiber having functional mineral powder and fiber produced therefrom,,2004-04-17,D01D 1/02,,,,2004-04-17,5
P134/2004,Temporary system and chemical cleaning process specifically for district cooling chilled water pipeline system,,2004-05-02,B08B 3/08,,,,2004-05-02,5
P160/2004,MEDICAL NECKLACE,,2004-05-15,A44C 15/00,,,,2004-05-15,5
P158/2004,Non-Toxic Corrosion Inhibitor to Protect Steel in Reinforced Concrete Structures,,2004-05-12,C09K 15/00,,,,2004-05-12,5
P163/2004,SAWDUST CYLINDER,,2004-05-15,F02B 17/00,,,,2004-05-15,5
P180/2004,MINI MULTI CONNECTION SOCKETS BAR,,2004-05-26,H01R 25/00,,,,2004-05-26,5
P227/2004,A method and Device for the investigation of the Telephone- Distribution Frames (MDF Tester),,2004-06-29,H04M 3/30,,,,2004-06-29,5
P193/2004,DUMAK 401,,2004-06-07,B60J 5/08,,,,2004-06-07,5
P228/2004,CALLING CLOCK FOR LIVE CALLING ATHAN,,2004-06-29,H04B 1/40,,,,2004-06-29,5
P195/2004,ADVANCED SELF-POWERED ILLUMINATED NON-ROTATING ADVERTIZING HUBCAP,,2004-06-09,G09F 21/00,,,,2004-06-09,5
P240/2004,System and Method for payment of bills through using mobile phones,,2004-07-13,G07F 19/00,,,,2004-07-13,5
P241/2004,Innovation Methods For Treatment and Fixation of Asbestos and Mercury Contaminated Asbestos.,,2004-07-14,B09B 3/00,,,,2004-07-14,5
P306/2004,INDOORS POSITIONING SYSTEM,,2004-08-25,G01S 13/00,,,,2004-08-25,5
P326/2004,MULTIPURPOSE AIR CRAFT PASSENGER BOARDING BRIDGE,,2004-09-01,B64F 1/305,,,,2004-09-01,5
P326/2004,MULTIPURPOSE AIR CRAFT PASSENGER BOARDING BRIDGE,,2004-09-01,B64F 1/305,,,,2004-09-01,5
P269/2004,BATTERY,,2004-10-30,H01M 10/28,,,,2004-10-30,5
P393/2004,SPACE MANAGEMENT OF THE AUTOMATIC P O BOX SYSTEM,,2004-10-06,B07C 3/00,,,,2004-10-06,5
P390/2004,Automatic P.O. Box System,,2004-10-06,B07C 3/00,,,,2004-10-06,5
P266/2004,Sponge,,2004-10-19,A47K 7/02,,,,2004-10-19,5
P425/2004,INVISIBLE MAGNETIC INK,,2004-10-26,C09D 5/00,,,,2004-10-26,5
P270/2004,MOUNT FOR PACKATGING OF BATTERY,,2004-10-30,H01M 10/04,,,,2004-10-30,5
P259/2004,Stand for compact discs,,2004-10-16,G11B 33/04,,,,2004-10-16,5
P261/2004,Hammer drill,,2004-10-18,B23B 45/16,,,,2004-10-18,5
P391/2004,Indoor Positioning system application to an archiving system of an administration (the search method).,,2004-10-06,G01C 21/16,,,,2004-10-06,5
P392/2004,Indoor Positioning system application to an archiving system of an administration (The Folder and IPS Unit),,2004-10-06,G01C 21/00,,,,2004-10-06,5
P389/2004,Bio-Diesel Based on 100% Natural Products-Nature Product that can Grow in GCC and The rest of the world,,2004-10-06,C12P 19/00,,,,2004-10-06,5
P380/2004,SEAMLESS BRA,,2004-10-02,A41C 1/06,,,,2004-10-02,5
P268/2004,VERMICORE FIRE &ndash; RATED DOOR,,2004-10-26,E05F 1/00,,,,2004-10-26,5
P411/2004,Instomat,,2004-11-18,E01B 1/00,,,,2004-11-18,5
P446/2004,PEN WITH PAPER DISPENSER,,2004-11-20,B43K 19/00,,,,2004-11-20,5
P469/2004,Corrosion Inhibiting Formula for Protecting Reinforced concrete structure,,2004-11-24,C04B 24/12,,,,2004-11-24,5
P447/2004,FILTERING DEVIC FOR WATER WELLS,,2004-11-20,B01D 29/00,,,,2004-11-20,5
P496/2004,PUD CARD : TELEPHONE UPDATE DEVICE,,2004-12-07,G06F 15/00,,,,2004-12-07,5
P507/2004,METHODS AND MIXTURES TO TREAT SOME DISEASES BY NATURAL ELEMENTS.,,2004-12-13,A61K 36/00,,,,2004-12-13,5
P506/2004,Cooling plant by natural air and water cooling tower,,2004-12-13,F25D 1/00,,,,2004-12-13,5
P504/2004,Electronic Business card,,2004-12-12,B42D 15/02,,,,2004-12-12,5
P510/2004,"Preparation of N1-(2&#39;-PYRIDYL)-1,2-PROPANEDIAMINE Sulfamic Acid and its Use in the Synthesis of Biologically Active Piperazines",,2004-12-18,C07D 213/74,,,,2004-12-18,5
P53/2005,Computer,,2005-01-26,G06F 1/00,,,,2005-01-26,5
P27/2005,Specialized Bevel thread design(sometime called a Buttress thread) used in Thermoplastic well casing and Screen Operation,,2005-01-12,F16L 21/02,,,,2005-01-12,5
P1/2005,THE REMINDER,,2005-01-02,B60R 22/48,,,,2005-01-02,5
P112/2005,Use of Dispersion Polymers as Friction Reducers in Aqueous Fracturing Fluids,,2005-02-28,C08F 2/26,,,,2005-02-28,5
P82/2005,RED PALM WEEVIL TRAP,,2005-02-19,B29C 45/48,,,,2005-02-19,5
P107/2005,M.M.S.C.,,2005-02-27,E04H 17/00,,,,2005-02-27,5
P167/2005,Prefabricated Earth Quake Resistant Buildings (Royan Saza),,2005-03-27,E04B 1/80,,,,2005-03-27,5
P166/2005,Termite Proofing For Buildings,,2005-03-27,E04B 1/80,,,,2005-03-27,5
P162/2005,Wind Flag Riser,,2005-03-26,G09F 17/00,,,,2005-03-26,5
P131/2005,AMethod of Supplying Liquid,,2005-03-12,E03B 11/00,,,,2005-03-12,5
P124/2005,HADMASK ball,,2005-03-06,A63B 39/06,,,,2005-03-06,5
P182/2005,Toothbrush,,2005-03-30,A46B 9/04,,,,2005-03-30,5
P183/2005,A Compact Camera,,2005-03-30,G03B 15/05,,,,2005-03-30,5
P130/2005,Flwxible Vessels for Transporting Fluent Cargoes,,2005-03-12,B63B 25/12,,,,2005-03-12,5
P150/2005,Device against Hijacking,,2005-03-21,A47B 97/00,,,,2005-03-21,5
P186/2005,The Electrical Generator with returned Power,,2005-04-03,B03C 3/02,,,,2005-04-03,5
P211/2005,Car Umbrella- Roof Top( CU-RT).,,2005-04-18,"A45B 11/00, A45B 17/00",,,,2005-04-18,5
P202/2005,Method and device for producing ultra pure water,,2005-04-11,C02F 1/42,,,,2005-04-11,5
P217/2005,Stereoscopic Universal Digital Camera Adapter,,2005-04-23,G02B 21/00,,,,2005-04-23,5
P187/2005,Device of water production,,2005-04-03,B01D 61/48,,,,2005-04-03,5
P207/2005,Tetrahydropyridoethers,,2005-04-13,A61K 31/435,,,,2005-04-13,5
P191/2005,NEW AND IMPROVED TABLE TOP,,2005-05-04,A47B 9/04,,,,2005-05-04,5
P267/2005,Variable-Draft Vessel,,2005-05-14,B63B 1/10,,,,2005-05-14,5
P310/2005,BRICK KIT,,2005-05-06,E04B 2/06,,,,2005-05-06,5
P244/2005,Concrete Forming System,,2005-05-03,E02D 27/01,,,,2005-05-03,5
P358/2005,Private Car Parking,,2005-06-29,G08G 1/017,,,,2005-06-29,5
P360/2005,Car Portable Umbrella/Tent,,2005-06-29,A45B 25/24,,,,2005-06-29,5
P209/2005,"Turbine, Particularly Useful for small Aircraft",,2005-06-04,F01D 17/08,,,,2005-06-04,5
P343/2005,Private car Parking,,2005-06-21,G08G 1/017,,,,2005-06-21,5
P65/2005,THE TRAFFIC ACCURACY AND SAFETY EQUIPMENT,,2005-07-02,"E01F 13/02, G08B 17/00",,,,2005-07-02,5
P374/2005,House In House System,,2005-07-11,H04M 3/42,,,,2005-07-11,5
P478/2005,SERVICE TERMINAL,,2005-07-09,G06Q 10/00,,,,2005-07-09,5
P412/2005,The invention of the developed battery(GG car),,2005-08-01,H01M 2/02,,,,2005-08-01,5
P402/2005,Device for locking and unlocking with key a cover or cap on a frame,,2005-07-25,B60R 1/12,,,,2005-07-25,5
P413/2005,The invention of the developed battery(GG car),,2005-08-01,H01M 2/02,,,,2005-08-01,5
P373/2005,Method of Assembling Beams for the Purpose of Producing a Bearing Structure for a BuiIding,,2005-07-10,"E04C 3/06, E04B 1/24",,,,2005-07-10,5
P413/2005,The invention of the developed battery(GG car),,2005-08-01,H01M 2/02,,,,2005-08-01,5
P438/2005,PROCESS FOR PRODUCING EXTINGUISHING AGENT,,2005-08-16,A62D 1/00,,,,2005-08-16,5
P412/2005,The invention of the developed battery(GG car),,2005-08-01,H01M 2/02,,,,2005-08-01,5
P67/2005,107 mm multiple-barrel rocket launcher system for a military land vehicle,,2005-08-02,F41A 13/00,,,,2005-08-02,5
P66/2005,MULTIPLE - CRADLE ROCKET LAUNCHER SYSTEM FOR A MILITARY LAND VEHICLE,,2005-08-02,F41A 13/00,,,,2005-08-02,5
P474/2005,"A method to design and construct a mountain having the ability to make climate, environmental and tourism changes",,2005-09-07,E01F 7/04,,,,2005-09-07,5
P488/2005,Facing Element for a Stabilized Earth Structure,,2005-09-13,E04B 2/02,,,,2005-09-13,5
P587/2005,A portable handy device checker for pager parking,,2005-10-29,G07B 15/02,,,,2005-10-29,5
P570/2005,Improvement of engines starting opration,,2005-10-23,F02B 43/08,,,,2005-10-23,5
P581/2005,A METHOD AND APPARATUS FOR PRODUCING OXYGEN ENRICHED WATER,,2005-10-28,B01F 1/00,,,,2005-10-28,5
P637/2005,Cool box near the driver&#39;s seat in Ford Explorer,,2005-11-21,B60H 1/00,,,,2005-11-21,5
P617/2005,AIR CONDITIONER HAVING WATER DRAINING DEVICE,,2005-11-07,F24F 13/22,,,,2005-11-07,5
P624/2005,HYDRAULIC SYSTEM FOR STOPPING CARS WITHOUT USE BRAKE SHOES,,2005-11-13,B60T 17/22,,,,2005-11-13,5
P625/2005,"Herbal Composition for Treatment of Burns, Cuts and Wounds",,2005-11-13,A61K 36/00,,,,2005-11-13,5
P648/2005,TIDES ELECTRICITY GENERATION STATION,,2005-11-27,F03B 13/12,,,,2005-11-27,5
P669/2005,Underwater Oil Storage Method and System,,2005-12-05,B65D 88/76,,,,2005-12-05,5
P672/2005,A VEHICLE ADAPTED TO MOVE ALONG A RAIL,,2005-12-06,B60L 13/00,,,,2005-12-06,5
P663/2005,A VEHICLE ADAPTED TO MOVE ALONG A RAIL,,2005-12-05,H01R 24/00,,,,2005-12-05,5
P681/2005,High Efficiency of water usage by new Subsurface Drip Irrigation Network(SDINW),,2005-12-10,A01G 25/00,,,,2005-12-10,5
P29/2006,CONTROL DEVICE,,2006-01-21,G05D 1/10,,,,2006-01-21,5
P67/2006,AL QALLAF PLASTIC,,2006-01-30,B29C 65/06,,,,2006-01-30,5
P99/2006,Ultrasonic measuring machine for wall thickness of plastic pipe,,2006-02-18,G01B 17/02,,,,2006-02-18,5
P123/2006,BATHTUB HAVING GOLD FOIL LAYER AND CERAMIC MEMBERS ATTACHED THERETO,,2006-02-26,A47K 3/00,,,,2006-02-26,5
P100/2006,"Method, system and its new usage of wireless computers connected with non-central processor terminals working with smart card",,2006-02-18,G06K 7/00,,,,2006-02-18,5
P208/2006,Ahmad&#39;s therapeutic alarm,,2006-03-22,G06F 19/00,,,,2006-03-22,5
P209/2006,Ahmad&#39;s safe flushing needle,,2006-03-12,A61M 5/00,,,,2006-03-12,5
P202/2006,DISPOSABLE HOOKAH BOWL,,2006-03-19,A24F 1/30,,,,2006-03-19,5
P230/2006,GLASS CURTAIN WALL HANGING SYSTEM,,2006-03-29,E04B 2/88,,,,2006-03-29,5
P231/2006,COL Pub,,2006-03-29,G09F 21/00,,,,2006-03-29,5
P243/2006,Syringe medical,,2006-04-03,A61M 5/24,,,,2006-04-03,5
P314/2006,IMPROVED NIPPLE FOR BABIES,,2006-04-30,A61J 11/00,,,,2006-04-30,5
P281/2006,PROJECT MANAGEMENT SYSTEM&nbsp;,,2006-04-17,G06Q 10/06,,,,2006-04-17,5
P279/2006,AUTOMATIC MACHINE USE FOR SUPPLYING NON PRESCRIPTION BASED MEDICINE (OVER THE COUNTER DRUGS) AND GENERAL HEALTH CARE ITEMS &amp; FIRST AID,,2006-04-17,A61B 17/00,,,,2006-04-17,5
P252/2006,Technique use emulsion water base in the industry of relief and three dimensional art pictures and interior decoration,,2006-04-09,C09K 8/00,,,,2006-04-09,5
P244/2006,MULTIPURPOSE AIRCRAFT PASSENGER BOARDING BRIDGE,,2006-04-03,B64F 1/305,,,,2006-04-03,5
P386-1/2006,VOICE MESSAGING SERVICES (VMS),,2006-05-24,H04M 1/00,,,,2006-05-24,5
P398/2006,Architecture for presenting and managing information in an automated parking and storage facility,,2006-05-30,"E04H 6/00, G06F 7/00, G08G 1/14",,,,2006-05-30,5
P426/2006,SAFE ELECTRONIC JOCKEY,,2006-06-11,G06Q 10/10,,,,2006-06-11,5
P417/2006,The Zommarred Cover,,2006-06-07,H01H 23/00,,,,2006-06-07,5
P437/2006,ROTATABLE BUILDING STRUCTURE,,2006-06-17,E04B 1/346,,,,2006-06-17,5
P490/2006,FLAT AERODYNAMIC PROJECTILE,,2006-07-03,F42B 10/42,,,,2006-07-03,5
P503/2006,A Self-Display RFID Storage Chip With A Display Unit Or Bluetooth Technology To Send /Receive Data,,2006-07-10,"G06K 7/00, G06K 19/07",,,,2006-07-10,5
P492/2006,Sun light,,2006-07-04,F21S 11/00,,,,2006-07-04,5
P616/2006,FUTURE BATHROOM,,2006-08-27,A47K 4/00,,,,2006-08-27,5
P596/2006,PORTABLE TOILET,,2006-08-22,A47K 11/04,,,,2006-08-22,5
P575/2006,Long Message Service or LMS,,2006-08-07,H04M 3/00,,,,2006-08-07,5
P684/2006,Environment unit container,,2006-09-26,B65D 88/00,,,,2006-09-26,5
P647/2006,SMALL PORTABLE MULTIPURPOSE PC UNIT INSERTABLE INTO A MULTITUDE OF OPERATING STATIONS,,2006-09-13,G06F 1/16,,,,2006-09-13,5
P699/2006,MONTANA 120 MM THERMAL BREAKS SLIDING SYSTEM,,2006-10-01,B28D 5/00,,,,2006-10-01,5
P645/2006,Instantaneous Trip Mechanism for Mould Cased Circuit Braker,,2006-09-13,H01H 71/74,,,,2006-09-13,5
P699/2006,MONTANA 120 MM THERMAL BREAKS SLIDING SYSTEM,,2006-10-01,B28D 5/00,,,,2006-10-01,5
P809/2006,Shelf Stable Product with Living Micro-Organisms,,2006-11-08,A61K 35/00,,,,2006-11-08,5
P846/2006,TOOTH BRUSH,,2006-11-20,A46B 7/00,,,,2006-11-20,5
P835/2006,A system and method for automated goods storage and retrieval,,2006-11-19,E04H 6/00,,,,2006-11-19,5
P910/2006,INNOVATIVE TRAFFIC LIGHT (TTL),,2006-12-11,F21S 4/00,,,,2006-12-11,5
P925/2006,LIGA TAIGHT,,2006-12-14,A61F 2/08,,,,2006-12-14,5
P968/2006,SEWAKOM,,2006-12-25,A61C 15/00,,,,2006-12-25,5
